scenario,persons,car_mode_share,persons_per_car,calculated_spaces
regular_future,150,0.4,2.0,30
regular_future,150,0.4,2.5,24
regular_future,150,0.4,3.0,20
regular_future,150,0.5,2.0,38
regular_future,150,0.5,2.5,30
regular_future,150,0.5,3.0,25
regular_future,150,0.6,2.0,45
regular_future,150,0.6,2.5,36
regular_future,150,0.6,3.0,30
friday_future,125,0.4,2.0,25
friday_future,125,0.4,2.5,20
friday_future,125,0.4,3.0,17
friday_future,125,0.5,2.0,32
friday_future,125,0.5,2.5,25
friday_future,125,0.5,3.0,21
friday_future,125,0.6,2.0,38
friday_future,125,0.6,2.5,30
friday_future,125,0.6,3.0,25
special_peak,200,0.4,2.0,40
special_peak,200,0.4,2.5,32
special_peak,200,0.4,3.0,27
special_peak,200,0.5,2.0,50
special_peak,200,0.5,2.5,40
special_peak,200,0.5,3.0,34
special_peak,200,0.6,2.0,60
special_peak,200,0.6,2.5,48
special_peak,200,0.6,3.0,40
