calculation_id,formula_or_method,input_refs,result,unit
CAL-A01,width * length,"IN-001,IN-002",70.0,m2
CAL-A02,floor_area * storeys,"CAL-A01,IN-003",140.0,m2
CAL-A03,floor_area * storey_height * storeys,"CAL-A01,IN-004,IN-003",448.0,m3
CAL-A04,existing_width * existing_length * storeys,,336.0,m2
CAL-A05,existing_gross_area + extension_gross_area,"CAL-A02,CAL-A04",476.0,m2
CAL-A06,sum(space.area_m2),,388.32,m2
CAL-S01,floor_area * floor_area_load,"CAL-A01,IN-005",490.0,kN
CAL-S02,roof_area * roof_area_load,"CAL-A01,IN-006",245.0,kN
CAL-S03,floor_area * floor_load * storeys + roof_area * roof_load + wall_allowance,"CAL-A01,IN-003,IN-005,IN-006,IN-007",1335.0,kN
CAL-S04,total_service_load / column_count,"CAL-S03,IN-008",148.33,kN
CAL-S05,floor_area_load * tributary_width,"IN-005,IN-009",24.5,kN/m
CAL-S06,line_load * span^2 / 8,"CAL-S05,IN-010",76.56,kNm
CAL-S07,line_load * span / 2,"CAL-S05,IN-010",61.25,kN
CAL-F01,strip_width * total_strip_length,"IN-011,IN-012",72.0,m2
CAL-F02,total_service_load / bearing_area,"CAL-S03,CAL-F01",18.54,kPa
CAL-E01,exit_count * exit_width_each,"IN-016,IN-017",2.4,m
CAL-E02,peak_occupancy / exit_count,"IN-013,IN-016",100.0,persons/exit
CAL-E03,peak_occupancy / total_exit_width,"IN-013,CAL-E01",83.33,persons/m
CAL-V01,persons * rate_l_s_person * 3.6,IN-018,3780.0,m3/h
CAL-V02,persons * rate_l_s_person * 3.6,IN-018,3150.0,m3/h
CAL-V03,persons * rate_l_s_person * 3.6,IN-018,5040.0,m3/h
CAL-P01,capacity - occupied,IN-019,115.0,spaces
CAL-P02,capacity - occupied,IN-019,90.0,spaces
CAL-P03,capacity - occupied,IN-019,55.0,spaces
CAL-P04,capacity - occupied,IN-019,80.0,spaces
CAL-P05,capacity - occupied,IN-019,100.0,spaces
CAL-P06,minimum_available - demand,,25.0,spaces
CAL-P07,minimum_available - demand,,30.0,spaces
CAL-P08,minimum_available - demand,,15.0,spaces
CAL-C01,sum(duration_days excluding operational use),,95.0,days
CAL-C02,sum(equipment operating_hours),IN-020,496.0,h
CAL-C03,sum(movements * distance_km),IN-021,6600.0,vehicle-km
