check_id,topic,expected,actual,passed
QA-01,extension_gross_area_m2,140.0,140.0,True
QA-02,total_service_gravity_load_kn,1335.0,1335.0,True
QA-03,representative_beam_line_load_kn_m,24.5,24.5,True
QA-04,representative_simple_span_moment_knm,76.56,76.56,True
QA-05,average_column_reaction_kn,148.33,148.33,True
QA-06,bearing_area_m2,72.0,72.0,True
QA-07,contact_pressure_kpa,18.54,18.54,True
QA-08,persons_per_exit,100.0,100.0,True
QA-09,persons_per_m_total_exit_width,83.33,83.33,True
QA-10,peak_ventilation_m3_h,5040.0,5040.0,True
QA-11,parking_capacity_spaces,225,225,True
QA-12,equipment_hours,496.0,496.0,True
QA-13,transport_vehicle_km,6600.0,6600.0,True
QA-14,central_model_fingerprint,61c1c56f500192557d603552561dd408cfed09fe704247b26f18343d24f1af0a,61c1c56f500192557d603552561dd408cfed09fe704247b26f18343d24f1af0a,True
QA-15,geometry_checks,True,True,True
QA-16,professional_blockers_visible,6,6,True
QA-17,req107_closed,CLOSED_PROJECT_LEADER_APPROVED,CLOSED_PROJECT_LEADER_APPROVED,True
QA-18,simulation_boundary,False,False,True
