check_id,criterion,passed,status
ORC-001,central_model_status,True,PASS
ORC-002,model_object_count,True,PASS
ORC-003,model_geometry_checks,True,PASS
ORC-004,drawings_reports_status,True,PASS
ORC-005,drawing_sheet_count,True,PASS
ORC-006,report_count,True,PASS
ORC-007,production_cross_checks,True,PASS
ORC-008,calculation_status,True,PASS
ORC-009,calculation_count,True,PASS
ORC-010,calculation_categories,True,PASS
ORC-011,calculation_quality_checks,True,PASS
ORC-012,model_fingerprint_model_to_drawings,True,PASS
ORC-013,model_fingerprint_model_to_calculations,True,PASS
ORC-014,model_id_consistency,True,PASS
ORC-015,parking_model,True,PASS
ORC-016,parking_drawings,True,PASS
ORC-017,parking_calculations,True,PASS
ORC-018,gross_area_consistency,True,PASS
ORC-019,professional_blockers_visible,True,PASS
ORC-020,final_permit_gate_locked,True,PASS
ORC-021,bb36_production_locked,True,PASS
ORC-022,component_directories_available,True,PASS
