combination_id,x_m,shear_kn,moment_knm
ULS_STR,0.0,80.15625,0.0
ULS_STR,0.05,79.003125,3.978984
ULS_STR,0.1,77.85,7.900313
ULS_STR,0.15,76.696875,11.763984
ULS_STR,0.2,75.54375,15.57
ULS_STR,0.25,74.390625,19.318359
ULS_STR,0.3,73.2375,23.009062
ULS_STR,0.35,72.084375,26.642109
ULS_STR,0.4,70.93125,30.2175
ULS_STR,0.45,69.778125,33.735234
ULS_STR,0.5,68.625,37.195312
ULS_STR,0.55,67.471875,40.597734
ULS_STR,0.6,66.31875,43.9425
ULS_STR,0.65,65.165625,47.229609
ULS_STR,0.7,64.0125,50.459062
ULS_STR,0.75,62.859375,53.630859
ULS_STR,0.8,61.70625,56.745
ULS_STR,0.85,60.553125,59.801484
ULS_STR,0.9,59.4,62.800312
ULS_STR,0.95,58.246875,65.741484
ULS_STR,1.0,57.09375,68.625
ULS_STR,1.05,55.940625,71.450859
ULS_STR,1.1,54.7875,74.219063
ULS_STR,1.15,53.634375,76.929609
ULS_STR,1.2,52.48125,79.5825
ULS_STR,1.25,51.328125,82.177734
ULS_STR,1.3,50.175,84.715312
ULS_STR,1.35,49.021875,87.195234
ULS_STR,1.4,47.86875,89.6175
ULS_STR,1.45,46.715625,91.982109
ULS_STR,1.5,45.5625,94.289062
ULS_STR,1.55,44.409375,96.538359
ULS_STR,1.6,43.25625,98.73
ULS_STR,1.65,42.103125,100.863984
ULS_STR,1.7,40.95,102.940313
ULS_STR,1.75,39.796875,104.958984
ULS_STR,1.8,38.64375,106.92
ULS_STR,1.85,37.490625,108.823359
ULS_STR,1.9,36.3375,110.669062
ULS_STR,1.95,35.184375,112.457109
ULS_STR,1.999999,34.031273,114.187466
ULS_STR,2.0,-3.46875,114.1875
ULS_STR,2.000001,-3.468773,114.187497
ULS_STR,2.05,-4.621875,113.985234
ULS_STR,2.1,-5.775,113.725313
ULS_STR,2.15,-6.928125,113.407734
ULS_STR,2.2,-8.08125,113.0325
ULS_STR,2.25,-9.234375,112.599609
ULS_STR,2.3,-10.3875,112.109062
ULS_STR,2.35,-11.540625,111.560859
ULS_STR,2.4,-12.69375,110.955
ULS_STR,2.45,-13.846875,110.291484
ULS_STR,2.5,-15.0,109.570312
ULS_STR,2.55,-16.153125,108.791484
ULS_STR,2.6,-17.30625,107.955
ULS_STR,2.65,-18.459375,107.060859
ULS_STR,2.7,-19.6125,106.109063
ULS_STR,2.75,-20.765625,105.099609
ULS_STR,2.8,-21.91875,104.0325
ULS_STR,2.85,-23.071875,102.907734
ULS_STR,2.9,-24.225,101.725313
ULS_STR,2.95,-25.378125,100.485234
ULS_STR,3.0,-26.53125,99.1875
ULS_STR,3.05,-27.684375,97.832109
ULS_STR,3.1,-28.8375,96.419062
ULS_STR,3.15,-29.990625,94.948359
ULS_STR,3.2,-31.14375,93.42
ULS_STR,3.25,-32.296875,91.833984
ULS_STR,3.3,-33.45,90.190313
ULS_STR,3.35,-34.603125,88.488984
ULS_STR,3.4,-35.75625,86.73
ULS_STR,3.45,-36.909375,84.913359
ULS_STR,3.5,-38.0625,83.039062
ULS_STR,3.55,-39.215625,81.107109
ULS_STR,3.6,-40.36875,79.1175
ULS_STR,3.65,-41.521875,77.070234
ULS_STR,3.7,-42.675,74.965312
ULS_STR,3.75,-43.828125,72.802734
ULS_STR,3.8,-44.98125,70.5825
ULS_STR,3.85,-46.134375,68.304609
ULS_STR,3.9,-47.2875,65.969063
ULS_STR,3.95,-48.440625,63.575859
ULS_STR,4.0,-49.59375,61.125
ULS_STR,4.05,-50.746875,58.616484
ULS_STR,4.1,-51.9,56.050312
ULS_STR,4.15,-53.053125,53.426484
ULS_STR,4.2,-54.20625,50.745
ULS_STR,4.25,-55.359375,48.005859
ULS_STR,4.3,-56.5125,45.209063
ULS_STR,4.35,-57.665625,42.354609
ULS_STR,4.4,-58.81875,39.4425
ULS_STR,4.45,-59.971875,36.472734
